epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3877.47,0.7424,0.40606,0.89754,0.92979,0.78503,0.82108,0.60403,0.57045,0.32138,0.84674,0.008614,0.008614,0.008614
44,3973.24,0.73649,0.40337,0.89508,0.92308,0.77786,0.81662,0.60539,0.56737,0.32088,0.84543,0.008581,0.008581,0.008581
45,4069.31,0.73346,0.40049,0.89396,0.92645,0.77568,0.81257,0.60303,0.5643,0.31782,0.84504,0.008548,0.008548,0.008548
46,4164.52,0.73461,0.40025,0.89431,0.93643,0.77439,0.81576,0.60407,0.5629,0.31786,0.84402,0.008515,0.008515,0.008515
47,4259.95,0.72919,0.39702,0.89307,0.92649,0.77804,0.82128,0.60535,0.5601,0.31431,0.84406,0.008482,0.008482,0.008482
48,4355.79,0.72697,0.39506,0.89174,0.92307,0.78196,0.82149,0.6082,0.55566,0.31274,0.84203,0.008449,0.008449,0.008449
49,4451.69,0.72279,0.39338,0.88996,0.81758,0.78524,0.82189,0.61012,0.55269,0.30997,0.84129,0.008416,0.008416,0.008416
50,4547.57,0.71457,0.38934,0.88881,0.86948,0.78403,0.82431,0.61042,0.5476,0.3079,0.84034,0.008383,0.008383,0.008383
51,4643.39,0.71292,0.38737,0.88844,0.86567,0.7903,0.83027,0.61472,0.54772,0.30818,0.84,0.00835,0.00835,0.00835
52,4739.3,0.71556,0.38812,0.88961,0.8658,0.79076,0.83006,0.61386,0.54484,0.30628,0.83919,0.008317,0.008317,0.008317
53,4834.82,0.70872,0.38566,0.88484,0.87738,0.79111,0.83635,0.61691,0.54361,0.30511,0.83878,0.008284,0.008284,0.008284
54,4930.84,0.70566,0.38395,0.88514,0.88352,0.7956,0.83716,0.61756,0.54103,0.30387,0.83805,0.008251,0.008251,0.008251
55,5026.59,0.70471,0.38359,0.8861,0.82602,0.79345,0.83422,0.62237,0.53542,0.30144,0.83698,0.008218,0.008218,0.008218
56,5122.54,0.70124,0.38044,0.88552,0.84563,0.79291,0.83593,0.62269,0.53402,0.29993,0.83697,0.008185,0.008185,0.008185
57,5218.62,0.69945,0.38016,0.88343,0.83384,0.80842,0.83524,0.62317,0.53137,0.29871,0.83604,0.008152,0.008152,0.008152
58,5314.49,0.69918,0.3799,0.88445,0.83866,0.79225,0.83494,0.62352,0.53011,0.29775,0.83529,0.008119,0.008119,0.008119
59,5410.41,0.69407,0.3778,0.88108,0.83286,0.81442,0.83814,0.62452,0.52884,0.29625,0.83488,0.008086,0.008086,0.008086
60,5505.92,0.69075,0.37471,0.88227,0.83243,0.81407,0.84132,0.62695,0.52823,0.29428,0.83421,0.008053,0.008053,0.008053
61,5601.5,0.68781,0.37371,0.88107,0.87983,0.79997,0.84511,0.62935,0.52378,0.29228,0.83366,0.00802,0.00802,0.00802
62,5697.11,0.6858,0.37303,0.88006,0.8617,0.8005,0.84324,0.62975,0.52176,0.29201,0.83331,0.007987,0.007987,0.007987
63,5792.68,0.68107,0.36992,0.87674,0.86694,0.79949,0.84084,0.63112,0.51782,0.28999,0.83239,0.007954,0.007954,0.007954
64,5888.29,0.67932,0.36863,0.87771,0.90815,0.79643,0.84254,0.63206,0.51535,0.28883,0.83181,0.007921,0.007921,0.007921
65,5983.97,0.67644,0.36718,0.87653,0.88571,0.79865,0.84731,0.63615,0.51566,0.28977,0.83174,0.007888,0.007888,0.007888
66,6079.83,0.67715,0.36651,0.87685,0.8929,0.79593,0.84788,0.63574,0.51398,0.28872,0.83153,0.007855,0.007855,0.007855
67,6175.38,0.67461,0.36575,0.87634,0.85466,0.81828,0.84863,0.63721,0.51312,0.28786,0.83129,0.007822,0.007822,0.007822
68,6271.24,0.6741,0.36579,0.87601,0.85472,0.82349,0.85353,0.6402,0.51174,0.28719,0.83072,0.007789,0.007789,0.007789
69,6366.91,0.6702,0.36279,0.87507,0.85696,0.83081,0.8566,0.64299,0.50801,0.28581,0.8299,0.007756,0.007756,0.007756
70,6462.93,0.66623,0.36012,0.87387,0.85809,0.82593,0.85565,0.64315,0.50628,0.28482,0.82951,0.007723,0.007723,0.007723
71,6558.75,0.66644,0.36051,0.87375,0.87675,0.8243,0.85476,0.64397,0.50474,0.28398,0.82917,0.00769,0.00769,0.00769
72,6654.73,0.66315,0.35913,0.87434,0.88394,0.82968,0.86025,0.64385,0.50395,0.28313,0.82893,0.007657,0.007657,0.007657
73,6750.28,0.66097,0.35725,0.87241,0.89188,0.82881,0.86127,0.64348,0.50339,0.28313,0.8285,0.007624,0.007624,0.007624
74,6845.56,0.65973,0.35711,0.87259,0.8926,0.82336,0.86086,0.64459,0.50255,0.28209,0.8283,0.007591,0.007591,0.007591
75,6941.37,0.6583,0.35607,0.87442,0.88541,0.82016,0.85874,0.64384,0.50066,0.28116,0.82783,0.007558,0.007558,0.007558
76,7036.61,0.6596,0.35628,0.87214,0.89607,0.82189,0.86281,0.64484,0.49957,0.28061,0.82755,0.007525,0.007525,0.007525
77,7132.4,0.65523,0.35401,0.86964,0.90133,0.82031,0.8618,0.64598,0.4976,0.27954,0.8271,0.007492,0.007492,0.007492
78,7228.08,0.65763,0.35331,0.87093,0.90086,0.81851,0.86185,0.64702,0.4958,0.27884,0.82665,0.007459,0.007459,0.007459
79,7323.92,0.65223,0.3523,0.86888,0.90155,0.82031,0.86341,0.64727,0.49498,0.27819,0.82644,0.007426,0.007426,0.007426
80,7420.18,0.65247,0.35106,0.87036,0.90591,0.82455,0.86923,0.64956,0.49399,0.27786,0.82615,0.007393,0.007393,0.007393
81,7516.04,0.64713,0.34925,0.86922,0.90187,0.82493,0.86968,0.65072,0.49293,0.27718,0.82586,0.00736,0.00736,0.00736
82,7612.1,0.64869,0.34991,0.86935,0.90377,0.82643,0.87144,0.6519,0.4921,0.27673,0.82565,0.007327,0.007327,0.007327
83,7708.07,0.64155,0.34681,0.86762,0.89969,0.82443,0.87069,0.65321,0.49055,0.27604,0.82526,0.007294,0.007294,0.007294
84,7803.86,0.64087,0.34584,0.8651,0.90761,0.82541,0.87296,0.65421,0.48948,0.2755,0.82502,0.007261,0.007261,0.007261
85,7899.72,0.64259,0.34611,0.86746,0.90932,0.82447,0.87408,0.6546,0.48833,0.27484,0.82478,0.007228,0.007228,0.007228
86,7995.57,0.64011,0.34674,0.86646,0.90949,0.82631,0.87437,0.65524,0.48718,0.2745,0.82449,0.007195,0.007195,0.007195
87,8091.48,0.63963,0.34475,0.86708,0.9042,0.82525,0.87346,0.65601,0.48628,0.27388,0.82432,0.007162,0.007162,0.007162
88,8187.42,0.63432,0.34295,0.86393,0.9075,0.82595,0.87409,0.65578,0.48574,0.27354,0.82415,0.007129,0.007129,0.007129
89,8282.88,0.63634,0.34284,0.86407,0.90668,0.82589,0.87386,0.65636,0.48497,0.27282,0.82399,0.007096,0.007096,0.007096
90,8378.96,0.63393,0.34242,0.86492,0.91137,0.82298,0.87406,0.65671,0.48395,0.27246,0.82379,0.007063,0.007063,0.007063
91,8474.89,0.63713,0.3434,0.866,0.90701,0.82371,0.87396,0.65718,0.48327,0.27223,0.8236,0.00703,0.00703,0.00703
92,8570.71,0.63102,0.3406,0.86432,0.91212,0.82602,0.87539,0.65794,0.48261,0.27206,0.82342,0.006997,0.006997,0.006997
93,8666.41,0.62816,0.33898,0.86438,0.91613,0.8242,0.87678,0.65869,0.48191,0.2718,0.82324,0.006964,0.006964,0.006964
94,8762.22,0.6296,0.33774,0.86232,0.9155,0.82646,0.87651,0.65903,0.4812,0.2714,0.82303,0.006931,0.006931,0.006931
95,8858.02,0.62654,0.33981,0.86307,0.91298,0.82404,0.87605,0.65893,0.48056,0.27119,0.82285,0.006898,0.006898,0.006898
96,8953.19,0.62712,0.33832,0.86326,0.9174,0.82484,0.87692,0.65926,0.47999,0.27086,0.82265,0.006865,0.006865,0.006865
97,9049.07,0.62238,0.33635,0.8618,0.91546,0.82498,0.87732,0.66007,0.47944,0.27047,0.82247,0.006832,0.006832,0.006832
98,9144.94,0.62302,0.33531,0.86278,0.9151,0.82526,0.87762,0.66037,0.47875,0.2699,0.82232,0.006799,0.006799,0.006799
99,9240.72,0.62307,0.33612,0.86209,0.91339,0.82549,0.87906,0.66146,0.47819,0.26936,0.82215,0.006766,0.006766,0.006766
100,9336.71,0.61654,0.33325,0.85945,0.91333,0.8257,0.8788,0.66182,0.47757,0.26904,0.82201,0.006733,0.006733,0.006733
101,9432.5,0.62287,0.33451,0.86234,0.91568,0.82548,0.87883,0.66297,0.47712,0.26882,0.82189,0.0067,0.0067,0.0067
102,9528.57,0.61626,0.33259,0.85974,0.91622,0.82489,0.87942,0.66338,0.47658,0.26856,0.82178,0.006667,0.006667,0.006667
103,9624.38,0.61681,0.33191,0.85974,0.91424,0.82644,0.87995,0.66444,0.47594,0.26823,0.82168,0.006634,0.006634,0.006634
104,9720.37,0.61414,0.33119,0.85913,0.91929,0.82403,0.87958,0.66555,0.47552,0.268,0.82154,0.006601,0.006601,0.006601
105,9816.18,0.61128,0.33039,0.85825,0.92076,0.8237,0.87887,0.66556,0.47495,0.26783,0.82145,0.006568,0.006568,0.006568
